"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"602.3.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, transmitter, 2 connection points " , "Light barrier, transmitter"
"602.4.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, 3 connection points " , "Light barrier, general, 3 connection points"
"602.4.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, 3 connection points " , "Light barrier, change-over contact"
"602.4.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, 3 connection points " , "Light barrier, NO contact with power supply"
"602.4.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, 3 connection points " , "Light barrier, NC contact with power supply"
"602.5.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, double switch, 4 connection points " , "Light barrier, general, 4 connection points"
"602.5.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, double switch, 4 connection points " , "Light barrier, double NO contact"
"602.5.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, double switch, 4 connection points " , "Light barrier, double NC contact"
"602.5.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, double switch, 4 connection points " , "Light barrier, NO-NC combination"
"602.98.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Graphic " , "Graphic"
"602.99.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Light barrier " , "Light barrier, variable " , "Light barrier, variable"
"603.1.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, NO contact, 2 connection points " , "Proximity switch, NO contact"
"603.2.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, NC contact, 2 connection points " , "Proximity switch, NC contact"
"603.3.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, 3 connection points " , "Proximity switch, general, 3 connection points"
"603.3.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, 3 connection points " , "Proximity switch, change-over contact"
"603.3.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, 3 connection points " , "Proximity switch, NO contact with power supply"
"603.3.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, 3 connection points " , "Proximity switch, NC contact with power supply"
"603.4.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, double switch, 4 connection points " , "Proximity switch, general, 4 connection points"
"603.4.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, double switch, 4 connection points " , "Proximity switch, double NO contact"
"603.4.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, double switch, 4 connection points " , "Proximity switch, double NC contact"
"603.4.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, double switch, 4 connection points " , "Proximity switch, NO-NC combination"
"603.98.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Graphic " , "Graphic"
"603.99.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Proximity switch " , "Proximity switch, variable " , "Proximity switch, variable"
"604.1.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NO contact, 2 connection points " , "Digital sensor, general, NO contact"
"604.1.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NO contact, 2 connection points " , "Digital sensor, NO contact"
"604.1.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NO contact, 2 connection points " , "Digital pressure sensor, NO contact"
"604.1.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NO contact, 2 connection points " , "Digital flow rate sensor, NO contact"
"604.1.4 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NO contact, 2 connection points " , "Digital level sensor, NO contact"
"604.1.5 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NO contact, 2 connection points " , "Digital temperature sensor, NO contact"
"604.2.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NC contact, 2 connection points " , "Digital sensor, general, NC contact"
"604.2.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NC contact, 2 connection points " , "Digital sensor, NC contact"
"604.2.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NC contact, 2 connection points " , "Digital pressure sensor, NC contact"
"604.2.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NC contact, 2 connection points " , "Digital flow rate sensor, NC contact"
"604.2.4 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NC contact, 2 connection points " , "Digital level sensor, NC contact"
"604.2.5 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, NC contact, 2 connection points " , "Digital temperature sensor, NC contact"
"604.3.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital sensor, general, 3 connection points"
"604.3.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital sensor, change-over contact"
"604.3.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital sensor, NO contact with power supply"
"604.3.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital sensor, NC contact with power supply"
"604.3.4 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital pressure sensor, change-over contact"
"604.3.5 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital flow rate sensor, change-over contact"
"604.3.6 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital level sensor, change-over contact"
"604.3.7 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, 3 connection points " , "Digital temperature sensor, change-over contact"
"604.4.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, double switch, 4 connection points " , "Digital sensor, general, 4 connection points"
"604.4.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, double switch, 4 connection points " , "Digital sensor, double NO contact"
"604.4.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, double switch, 4 connection points " , "Digital sensor, double NC contact"
"604.4.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, double switch, 4 connection points " , "Digital sensor, NO-NC combination"
"604.98.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Graphic " , "Graphic"
"604.99.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Digital sensor, general " , "Digital sensor, variable " , "Digital sensor, variable"
"605.1.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog sensor, 2 connection points " , "Analog sensor, general, 2 connection points"
"605.1.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog sensor, 2 connection points " , "Analog sensor, 2 connection points"
"605.1.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog sensor, 2 connection points " , "Analog pressure sensor, 2 connection points"
"605.1.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog sensor, 2 connection points " , "Analog flow rate sensor, 2 connection points"
"605.1.4 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog sensor, 2 connection points " , "Analog level sensor, 2 connection points"
"605.1.5 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog sensor, 2 connection points " , "Analog temperature sensor, 2 connection points"
"605.2.0 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog double sensor, 4 connection points " , "Analog double sensor, general, 4 connection points"
"605.2.1 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog double sensor, 4 connection points " , "Analog double sensor, 4 connection points"
"605.2.2 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog double sensor, 4 connection points " , "Analog double pressure sensor, 4 connection points"
"605.2.3 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog double sensor, 4 connection points " , "Analog double flow rate sensor, 4 connection points"
"605.2.4 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog double sensor, 4 connection points " , "Analog double level sensor, 4 connection points"
"605.2.5 " , "Electrical engineering " , "Sensor, switch, and pushbutton " , "Analog sensor " , "Analog double sensor, 4 connection points " , "Analog double temperature sensor, 4 connection points"
